age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
42,unemployed,married,secondary,no,1289,no,no,cellular,15,oct,1176,3,92,6,success,yes
42,management,married,secondary,no,3018,yes,no,cellular,8,may,288,3,172,2,failure,no
31,management,single,secondary,no,1090,yes,no,cellular,8,may,50,1,303,1,failure,no
38,management,single,tertiary,no,6158,yes,no,cellular,15,apr,139,5,145,9,failure,yes
80,retired,married,secondary,no,668,no,no,telephone,8,jul,250,1,371,1,success,yes
68,retired,married,tertiary,no,2812,no,no,cellular,3,feb,279,2,181,1,failure,yes
39,admin.,married,secondary,no,3047,yes,no,cellular,11,may,279,1,370,2,failure,no
32,services,married,secondary,no,1167,yes,yes,telephone,16,apr,668,3,147,1,failure,no
34,technician,single,tertiary,no,2047,yes,no,cellular,18,nov,72,2,113,5,failure,no
47,management,married,tertiary,no,699,no,no,cellular,5,aug,432,3,97,2,success,no
41,management,married,tertiary,no,30,yes,no,cellular,15,may,101,4,291,6,failure,no
44,services,divorced,secondary,no,206,yes,no,cellular,14,may,78,1,365,1,failure,no
54,management,married,tertiary,no,446,no,no,cellular,2,jun,122,2,91,8,failure,no
32,admin.,single,secondary,no,620,no,no,cellular,17,apr,211,2,343,3,failure,no
49,technician,divorced,secondary,no,972,no,no,cellular,16,nov,104,3,175,2,failure,no
45,management,married,tertiary,no,6945,no,no,cellular,5,aug,131,5,356,3,failure,no
49,admin.,divorced,secondary,no,132,yes,no,cellular,15,may,98,1,350,1,failure,no
33,technician,single,secondary,no,1279,yes,no,cellular,18,may,239,2,349,3,success,no
45,management,married,secondary,no,2897,no,no,cellular,2,jul,301,2,88,5,failure,no
39,entrepreneur,married,secondary,no,2139,yes,no,cellular,15,may,576,4,371,1,failure,yes
35,technician,single,secondary,no,920,yes,no,cellular,11,aug,159,2,286,6,failure,no
35,management,married,tertiary,no,62,no,no,cellular,7,may,226,2,88,4,success,yes
43,admin.,married,secondary,no,214,yes,no,telephone,17,apr,421,2,324,24,failure,no
25,admin.,single,tertiary,no,1141,yes,no,cellular,5,may,718,1,347,1,failure,no
55,blue-collar,divorced,secondary,no,4053,no,no,cellular,19,nov,113,1,166,2,failure,no
57,retired,married,primary,no,13,yes,no,cellular,13,may,164,2,366,2,failure,no
43,entrepreneur,single,tertiary,no,744,no,yes,cellular,20,nov,90,4,114,4,failure,no
34,technician,single,secondary,no,1866,no,no,cellular,8,may,134,3,185,1,failure,no
37,management,divorced,secondary,no,1655,yes,no,cellular,12,may,178,1,175,2,failure,no
22,student,single,tertiary,no,691,no,no,cellular,30,nov,260,5,103,1,success,yes
63,retired,married,tertiary,no,4692,yes,no,cellular,13,jul,88,1,181,2,failure,no
34,technician,divorced,secondary,no,1301,yes,no,cellular,30,jan,196,2,189,2,failure,no
38,technician,married,secondary,no,581,yes,no,cellular,2,feb,223,2,272,1,failure,no
38,blue-collar,married,secondary,no,4321,no,no,cellular,18,may,252,1,85,6,failure,no
76,retired,divorced,primary,no,802,no,no,cellular,9,mar,241,1,181,5,success,yes
40,services,single,secondary,no,1547,yes,no,cellular,12,may,88,2,173,1,success,no
33,services,single,secondary,no,152,yes,no,cellular,25,may,202,2,365,2,success,yes
33,admin.,married,secondary,no,920,no,no,cellular,16,nov,130,1,95,2,failure,yes
34,technician,single,tertiary,no,612,no,no,cellular,28,aug,81,1,95,1,failure,no
34,admin.,married,tertiary,no,0,no,no,cellular,30,jul,292,1,183,2,success,yes
36,admin.,divorced,secondary,no,1224,yes,no,cellular,12,nov,482,1,374,1,success,yes
33,technician,divorced,secondary,no,557,yes,no,cellular,20,nov,89,1,91,1,failure,no
38,unemployed,married,primary,no,7005,yes,no,cellular,25,jan,696,1,202,2,success,yes
56,services,married,secondary,no,1150,no,yes,cellular,17,nov,107,1,117,3,failure,no
28,admin.,single,secondary,no,242,yes,yes,cellular,12,may,256,1,349,1,failure,no
35,management,married,tertiary,no,2088,yes,no,cellular,1,oct,86,1,50,4,failure,no
37,management,married,tertiary,no,332,yes,no,cellular,14,aug,190,2,84,7,failure,no
31,technician,single,secondary,no,863,yes,no,cellular,25,may,166,3,111,6,failure,no
35,admin.,married,tertiary,no,957,yes,no,cellular,26,mar,263,4,667,4,failure,no
49,management,single,tertiary,no,163,yes,no,cellular,30,jan,281,2,269,3,failure,no
42,technician,married,secondary,no,2152,no,no,cellular,1,jul,113,2,93,4,failure,no
68,retired,single,tertiary,no,2144,no,no,cellular,22,oct,277,1,184,2,success,yes
39,technician,married,secondary,no,0,yes,no,cellular,16,apr,137,1,300,1,failure,no
39,management,single,tertiary,no,5073,yes,no,cellular,12,may,1182,1,286,4,failure,yes
44,services,married,primary,no,2557,yes,no,cellular,14,apr,250,1,181,8,success,yes
41,services,divorced,secondary,no,5745,yes,yes,cellular,15,may,69,3,357,1,failure,no
24,management,single,tertiary,no,1506,no,no,cellular,12,jun,239,2,95,4,success,yes
31,blue-collar,married,secondary,no,1664,yes,no,cellular,20,apr,158,1,182,1,success,no
58,management,married,tertiary,no,2764,no,no,cellular,1,jun,459,1,196,1,failure,no
26,admin.,single,secondary,no,96,no,no,cellular,6,may,606,1,345,1,failure,no
36,management,single,tertiary,no,4,yes,no,cellular,7,jul,529,1,61,3,success,no
36,services,married,tertiary,no,260,yes,no,cellular,6,may,167,3,299,2,failure,no
46,technician,single,secondary,no,4367,yes,no,cellular,3,jun,65,1,96,1,failure,no
34,blue-collar,married,secondary,no,1454,yes,no,cellular,11,feb,231,2,297,2,failure,yes
72,retired,married,secondary,no,5715,no,no,cellular,17,nov,1127,5,184,3,success,yes
31,management,single,secondary,yes,0,no,no,cellular,11,feb,112,4,85,2,failure,no
30,management,single,secondary,no,293,yes,no,cellular,5,feb,232,1,253,2,failure,no
29,unemployed,single,secondary,no,486,no,no,telephone,14,aug,151,1,106,1,failure,no
31,services,single,secondary,no,-205,no,no,cellular,1,sep,481,1,579,1,failure,yes
35,management,single,tertiary,no,681,no,no,cellular,18,feb,737,1,561,2,success,yes
27,technician,married,tertiary,no,8,yes,yes,cellular,18,may,398,1,370,2,failure,no
55,admin.,divorced,secondary,no,-288,yes,no,cellular,14,may,62,4,352,2,failure,no
32,admin.,single,secondary,no,554,yes,no,cellular,28,may,101,2,368,5,failure,no
32,management,single,tertiary,no,3050,yes,no,cellular,21,nov,58,1,182,1,failure,no
57,services,single,secondary,no,2236,yes,no,telephone,20,nov,51,8,190,2,failure,no
62,housemaid,married,tertiary,no,1528,no,no,cellular,15,oct,134,2,184,1,success,yes
29,management,married,tertiary,no,30,no,no,cellular,13,aug,83,1,105,1,failure,no
47,unemployed,married,secondary,no,926,no,no,cellular,14,aug,436,1,403,5,success,yes
83,retired,married,primary,no,425,no,no,telephone,22,sep,773,1,92,2,success,yes
57,retired,married,primary,no,0,yes,no,cellular,6,may,62,2,273,2,failure,no
33,admin.,married,tertiary,no,79,yes,no,cellular,22,oct,249,2,335,2,failure,yes
38,unemployed,single,secondary,no,1354,yes,no,cellular,13,may,364,2,343,4,failure,no
29,technician,single,tertiary,no,0,yes,no,cellular,7,may,347,2,337,6,failure,yes
37,management,married,tertiary,no,0,yes,no,cellular,6,may,84,2,169,3,failure,no
40,management,divorced,tertiary,no,1315,yes,no,cellular,9,apr,466,2,141,5,failure,no
54,management,married,tertiary,no,1624,no,no,cellular,12,may,166,3,182,10,success,yes
39,blue-collar,married,secondary,no,284,yes,yes,cellular,17,apr,1426,2,318,6,failure,no
35,management,single,secondary,no,356,yes,no,cellular,21,nov,20,5,114,7,failure,no
34,technician,single,secondary,no,1279,yes,no,cellular,21,oct,339,3,91,10,success,yes
36,self-employed,married,tertiary,no,506,no,no,cellular,3,feb,124,1,92,3,success,no
61,retired,married,secondary,no,523,no,no,cellular,13,aug,211,3,183,4,success,yes
26,management,single,tertiary,no,362,no,no,cellular,15,sep,925,1,104,2,success,yes
37,services,married,primary,no,0,yes,no,cellular,12,may,631,1,344,1,success,no
54,management,divorced,secondary,no,300,yes,no,cellular,7,may,329,1,168,2,success,no
39,technician,single,secondary,no,-529,yes,no,cellular,15,may,22,8,175,5,failure,no
24,blue-collar,single,primary,no,145,yes,no,cellular,15,may,520,1,345,1,failure,no
38,admin.,married,secondary,no,11303,no,no,cellular,28,dec,473,2,216,2,failure,yes
47,admin.,single,secondary,no,15,no,no,cellular,2,feb,71,1,266,4,failure,no
42,self-employed,married,secondary,no,1216,yes,no,cellular,23,apr,296,1,521,1,failure,yes
27,blue-collar,single,tertiary,no,644,no,no,cellular,2,jun,657,1,182,1,success,yes
48,blue-collar,married,primary,no,214,yes,yes,cellular,18,nov,246,1,162,1,failure,no
52,self-employed,married,tertiary,no,5350,yes,yes,cellular,18,nov,68,2,110,4,success,no
32,technician,married,secondary,no,522,yes,yes,cellular,12,may,272,5,258,4,failure,no
40,technician,married,tertiary,no,1293,no,no,cellular,16,sep,1702,3,105,2,success,yes
80,retired,married,primary,no,155,no,no,telephone,4,may,209,1,53,3,success,yes
39,services,married,secondary,no,105,no,no,cellular,4,feb,137,1,189,2,failure,no
36,technician,married,secondary,no,1508,no,no,cellular,29,jan,187,2,185,8,failure,no
34,management,single,tertiary,no,1228,no,no,cellular,13,aug,99,2,105,10,success,no
28,technician,single,tertiary,no,4987,no,no,cellular,2,jun,924,2,113,21,success,yes
55,technician,divorced,tertiary,no,0,no,no,cellular,17,nov,134,2,91,1,success,yes
66,retired,married,primary,no,2173,no,no,cellular,15,jul,178,1,181,5,failure,no
26,student,single,secondary,no,5296,no,no,cellular,5,mar,229,1,205,1,failure,yes
28,management,single,tertiary,no,2725,no,no,cellular,16,jun,292,1,504,1,failure,yes
56,services,divorced,secondary,no,935,no,no,cellular,2,jun,136,1,96,3,failure,no
34,technician,married,secondary,no,390,yes,no,cellular,27,mar,95,2,231,2,failure,yes
45,admin.,married,secondary,no,72,yes,yes,cellular,15,may,262,2,352,2,failure,no
55,management,married,primary,no,621,no,yes,cellular,2,feb,114,1,208,1,failure,no
42,admin.,divorced,secondary,no,-106,yes,no,cellular,15,may,495,1,347,3,failure,no
54,admin.,divorced,tertiary,no,122,no,no,cellular,26,oct,322,1,547,1,failure,no
38,management,married,tertiary,no,4174,no,no,cellular,23,oct,336,2,184,5,failure,yes
31,technician,single,tertiary,no,438,yes,no,cellular,20,nov,165,1,100,2,failure,no
50,technician,married,secondary,no,-353,yes,yes,cellular,18,nov,162,1,175,2,failure,no
42,management,married,primary,no,-679,yes,yes,cellular,6,may,159,1,343,2,failure,no
70,retired,married,secondary,no,2815,no,no,cellular,26,apr,125,2,182,1,failure,no
44,unemployed,married,secondary,no,0,yes,no,cellular,17,nov,58,1,195,2,failure,no
43,management,single,tertiary,no,1696,yes,no,cellular,26,aug,257,1,474,3,failure,yes
38,blue-collar,married,secondary,no,121,yes,yes,cellular,6,feb,168,1,212,2,failure,no
41,services,married,primary,no,4903,yes,no,cellular,18,may,155,1,180,2,failure,no
49,blue-collar,married,primary,no,474,yes,yes,telephone,9,feb,152,3,221,1,failure,no
35,blue-collar,married,secondary,no,262,no,no,cellular,15,mar,427,1,181,3,success,yes
36,blue-collar,married,primary,no,319,yes,no,cellular,13,may,774,2,301,1,failure,yes
84,retired,divorced,primary,no,2619,no,no,telephone,8,feb,145,2,115,2,failure,no
41,unemployed,married,secondary,no,277,yes,no,cellular,12,may,152,3,351,2,failure,no
35,entrepreneur,married,secondary,no,24,yes,no,cellular,17,nov,128,1,181,1,failure,no
33,technician,married,tertiary,no,4401,no,no,cellular,12,aug,96,2,104,1,success,no
37,services,married,tertiary,no,0,yes,no,cellular,21,nov,11,3,175,1,failure,no
55,admin.,divorced,secondary,no,166,no,no,cellular,20,nov,324,7,153,4,failure,no
36,blue-collar,single,primary,no,90,yes,no,cellular,18,may,50,2,360,1,failure,no
47,admin.,married,secondary,no,1387,yes,no,cellular,14,oct,158,1,826,1,failure,no
40,services,married,secondary,no,695,yes,no,cellular,11,may,270,1,348,10,failure,no
53,admin.,married,secondary,no,2851,no,yes,telephone,1,jun,89,1,119,1,failure,no
50,management,married,secondary,no,0,yes,no,cellular,20,nov,152,1,190,1,failure,no
55,management,married,tertiary,no,10065,no,no,cellular,20,nov,197,5,177,3,failure,no
49,technician,married,secondary,no,-205,yes,yes,cellular,14,may,6,6,309,1,failure,no
39,blue-collar,married,secondary,no,1403,no,no,cellular,11,may,214,8,326,2,failure,no
56,blue-collar,single,primary,no,39,yes,no,telephone,8,may,191,2,347,5,failure,no
36,technician,married,tertiary,no,4596,yes,no,cellular,8,oct,234,2,175,2,success,yes
54,blue-collar,married,primary,no,3170,yes,no,telephone,16,apr,140,2,324,4,failure,no
34,technician,single,secondary,no,2660,yes,no,cellular,15,apr,158,2,329,1,failure,no
54,technician,married,secondary,no,65,no,no,cellular,28,may,309,4,93,4,failure,no
45,blue-collar,married,primary,no,353,yes,no,cellular,12,may,204,1,364,1,failure,no
38,management,single,tertiary,no,1515,yes,no,cellular,18,nov,134,1,110,5,failure,no
48,management,married,primary,no,606,no,no,cellular,7,sep,589,3,186,6,failure,no
57,technician,divorced,primary,no,13,yes,no,cellular,8,may,323,2,368,2,failure,no
35,entrepreneur,married,secondary,no,2971,no,no,cellular,4,may,429,4,164,2,failure,yes
29,management,married,tertiary,no,13186,yes,no,cellular,12,may,322,1,350,2,failure,no
45,housemaid,married,secondary,no,4068,no,no,cellular,30,sep,314,1,41,1,success,no
38,blue-collar,single,primary,no,0,yes,yes,cellular,8,may,84,1,290,1,failure,no
41,unemployed,single,tertiary,no,7968,no,no,cellular,2,sep,404,1,184,4,success,yes
61,blue-collar,married,secondary,no,272,no,no,cellular,29,oct,318,1,269,1,failure,no
42,admin.,divorced,secondary,no,2397,yes,no,cellular,15,apr,239,2,320,2,failure,no
38,technician,divorced,secondary,no,5733,yes,no,cellular,12,may,173,8,278,4,failure,no
53,housemaid,married,tertiary,no,554,no,no,cellular,28,jan,48,1,181,5,failure,no
32,technician,divorced,secondary,no,3345,yes,no,cellular,6,may,118,1,260,3,failure,no
